,ft_action_density,ft_decision_points,ft_implementation_steps,base_action_density,base_decision_points,base_implementation_steps
sample_0,0.0,2,0,0.0032520325203252032,7,10
sample_1,0.0,1,1,0.0076103500761035,14,4
sample_2,0.0,8,0,0.0016025641025641025,6,0
sample_3,0.023809523809523808,1,0,0.007155635062611807,10,10
sample_4,0.0,0,0,0.008113590263691683,8,6
sample_5,0.0036363636363636364,4,0,0.005934718100890208,10,8
sample_6,0.003125,3,0,0.011472275334608031,7,5
sample_7,0.0,1,0,0.010889292196007259,9,2
sample_8,0.02247191011235955,1,0,0.011494252873563218,7,6
sample_9,0.0,0,0,0.012718600953895072,11,1
sample_10,0.0033783783783783786,4,0,0.017208413001912046,8,6
sample_11,0.0,2,1,0.011111111111111112,6,1
sample_12,0.008333333333333333,3,0,0.0,8,2
sample_13,0.012658227848101266,0,0,0.007836990595611285,10,4
sample_14,0.0,0,0,0.010438413361169102,4,8
sample_15,0.0,2,0,0.014516129032258065,9,5
sample_16,0.0078125,2,0,0.02158273381294964,9,6
sample_17,0.01680672268907563,3,0,0.009077155824508321,12,8
sample_18,0.0,0,0,0.010245901639344262,9,7
sample_19,0.01639344262295082,1,0,0.0024691358024691358,5,5
sample_20,0.011363636363636364,1,0,0.0036036036036036037,13,7
sample_21,0.0,3,0,0.014545454545454545,10,7
sample_22,0.016233766233766232,4,0,0.0030816640986132513,17,9
sample_23,0.008547008547008548,2,0,0.005145797598627788,8,7
sample_24,0.018518518518518517,0,0,0.003484320557491289,5,5
sample_25,0.023809523809523808,0,0,0.005263157894736842,7,8
sample_26,0.023622047244094488,1,0,0.009242144177449169,6,6
sample_27,0.014492753623188406,2,0,0.011811023622047244,11,8
sample_28,0.03260869565217391,1,0,0.015384615384615385,17,9
sample_29,0.007407407407407408,3,0,0.007575757575757576,13,9
sample_30,0.01818181818181818,1,0,0.024539877300613498,7,6
sample_31,0.014492753623188406,0,0,0.014184397163120567,11,0
sample_32,0.0,1,0,0.007751937984496124,7,3
sample_33,0.011834319526627219,6,1,0.011644832605531296,8,0
sample_34,0.0,1,0,0.009771986970684038,9,0
sample_35,0.021739130434782608,1,0,0.004651162790697674,11,8
sample_36,0.01875,1,0,0.013888888888888888,16,1
