evaluator_id,prompt_id,in_game_rating_ft,in_game_rating_base,post_game_rating_ft,post_game_rating_base
1,1,4,3,5,4
1,2,5,4,4,3
1,3,3,5,4,5
1,4,4,2,5,3
1,5,5,4,5,3
1,6,3,3,4,4
1,7,5,4,5,3
1,8,4,3,3,4
1,9,4,4,5,4
1,10,5,2,5,2
1,11,4,3,4,4
1,12,5,4,5,4
1,13,2,4,3,5
1,14,3,2,4,3
1,15,5,4,5,4
1,16,4,3,4,3
1,17,4,5,3,4
1,18,5,3,5,3
1,19,4,4,5,5
1,20,5,3,5,2
2,1,5,4,4,3
2,2,4,3,5,4
2,3,4,5,4,4
2,4,3,2,4,2
2,5,5,4,5,3
2,6,4,4,3,4
2,7,5,3,5,3
2,8,4,4,4,5
2,9,3,4,4,4
2,10,5,3,5,2
2,11,4,2,4,3
2,12,5,4,5,4
2,13,3,5,2,4
2,14,4,3,3,2
2,15,5,4,5,3
2,16,4,2,5,4
2,17,5,4,4,5
2,18,4,3,5,2
2,19,5,4,5,4
2,20,5,4,4,3
3,1,4,4,4,4
3,2,5,3,5,3
3,3,3,5,4,5
3,4,4,3,5,4
3,5,4,4,5,4
3,6,3,4,4,5
3,7,5,4,5,4
3,8,4,3,4,3
3,9,5,4,4,3
3,10,5,2,5,2
3,11,4,4,4,5
3,12,5,4,5,4
3,13,3,4,2,4
3,14,4,2,4,2
3,15,5,3,5,3
3,16,4,3,4,4
3,17,5,5,5,4
3,18,4,4,4,3
3,19,5,3,5,3
3,20,5,4,5,3
4,1,5,4,4,3
4,2,4,3,5,4
4,3,4,5,4,4
4,4,3,2,4,2
4,5,5,4,5,3
4,6,4,4,3,4
4,7,5,3,5,3
4,8,4,4,4,5
4,9,3,4,4,4
4,10,5,3,5,2
4,11,4,2,4,3
4,12,5,4,5,4
4,13,3,5,2,4
4,14,4,3,3,2
4,15,5,4,5,3
4,16,4,2,5,4
4,17,5,4,4,5
4,18,4,3,5,2
4,19,5,4,5,4
4,20,5,4,4,3
5,1,4,3,5,4
5,2,5,4,4,3
5,3,3,5,4,5
5,4,4,2,5,3
5,5,5,4,5,3
5,6,3,3,4,4
5,7,5,4,5,3
5,8,4,3,3,4
5,9,4,4,5,4
5,10,5,2,5,2
5,11,4,3,4,4
5,12,5,4,5,4
5,13,2,4,3,5
5,14,3,2,4,3
5,15,5,4,5,4
5,16,4,3,4,3
5,17,4,5,3,4
5,18,5,3,5,3
5,19,4,4,5,5
5,20,5,3,5,2
6,1,5,4,4,3
6,2,4,3,5,4
6,3,4,5,4,4
6,4,3,2,4,2
6,5,5,4,5,3
6,6,4,4,3,4
6,7,5,3,5,3
6,8,4,4,4,5
6,9,3,4,4,4
6,10,5,3,5,2
6,11,4,2,4,3
6,12,5,4,5,4
6,13,3,5,2,4
6,14,4,3,3,2
6,15,5,4,5,3
6,16,4,2,5,4
6,17,5,4,4,5
6,18,4,3,5,2
6,19,5,4,5,4
6,20,5,4,4,3
7,1,4,4,4,4
7,2,5,3,5,3
7,3,3,5,4,5
7,4,4,3,5,4
7,5,4,4,5,4
7,6,3,4,4,5
7,7,5,4,5,4
7,8,4,3,4,3
7,9,5,4,4,3
7,10,5,2,5,2
7,11,4,4,4,5
7,12,5,4,5,4
7,13,3,4,2,4
7,14,4,2,4,2
7,15,5,3,5,3
7,16,4,3,4,4
7,17,5,5,5,4
7,18,4,4,4,3
7,19,5,3,5,3
7,20,5,4,5,3
8,1,5,4,4,3
8,2,4,3,5,4
8,3,4,5,4,4
8,4,3,2,4,2
8,5,5,4,5,3
8,6,4,4,3,4
8,7,5,3,5,3
8,8,4,4,4,5
8,9,3,4,4,4
8,10,5,3,5,2
8,11,4,2,4,3
8,12,5,4,5,4
8,13,3,5,2,4
8,14,4,3,3,2
8,15,5,4,5,3
8,16,4,2,5,4
8,17,5,4,4,5
8,18,4,3,5,2
8,19,5,4,5,4
8,20,5,4,4,3
9,1,4,3,5,4
9,2,5,4,4,3
9,3,3,5,4,5
9,4,4,2,5,3
9,5,5,4,5,3
9,6,3,3,4,4
9,7,5,4,5,3
9,8,4,3,3,4
9,9,4,4,5,4
9,10,5,2,5,2
9,11,4,3,4,4
9,12,5,4,5,4
9,13,2,4,3,5
9,14,3,2,4,3
9,15,5,4,5,4
9,16,4,3,4,3
9,17,4,5,3,4
9,18,5,3,5,3
9,19,4,4,5,5
9,20,5,3,5,2
10,1,5,4,4,3
10,2,4,3,5,4
10,3,4,5,4,4
10,4,3,2,4,2
10,5,5,4,5,3
10,6,4,4,3,4
10,7,5,3,5,3
10,8,4,4,4,5
10,9,3,4,4,4
10,10,5,3,5,2
10,11,4,2,4,3
10,12,5,4,5,4
10,13,3,5,2,4
10,14,4,3,3,2
10,15,5,4,5,3
10,16,4,2,5,4
10,17,5,4,4,5
10,18,4,3,5,2
10,19,5,4,5,4
10,20,5,4,4,3
11,1,4,4,4,4
11,2,5,3,5,3
11,3,3,5,4,5
11,4,4,3,5,4
11,5,4,4,5,4
11,6,3,4,4,5
11,7,5,4,5,4
11,8,4,3,4,3
11,9,5,4,4,3
11,10,5,2,5,2
11,11,4,4,4,5
11,12,5,4,5,4
11,13,3,4,2,4
11,14,4,2,4,2
11,15,5,3,5,3
11,16,4,3,4,4
11,17,5,5,5,4
11,18,4,4,4,3
11,19,5,3,5,3
11,20,5,4,5,3
12,1,5,4,4,3
12,2,4,3,5,4
12,3,4,5,4,4
12,4,3,2,4,2
12,5,5,4,5,3
12,6,4,4,3,4
12,7,5,3,5,3
12,8,4,4,4,5
12,9,3,4,4,4
12,10,5,3,5,2
12,11,4,2,4,3
12,12,5,4,5,4
12,13,3,5,2,4
12,14,4,3,3,2
12,15,5,4,5,3
12,16,4,2,5,4
12,17,5,4,4,5
12,18,4,3,5,2
12,19,5,4,5,4
12,20,5,4,4,3
13,1,4,3,5,4
13,2,5,4,4,3
13,3,3,5,4,5
13,4,4,2,5,3
13,5,5,4,5,3
13,6,3,3,4,4
13,7,5,4,5,3
13,8,4,3,3,4
13,9,4,4,5,4
13,10,5,2,5,2
13,11,4,3,4,4
13,12,5,4,5,4
13,13,2,4,3,5
13,14,3,2,4,3
13,15,5,4,5,4
13,16,4,3,4,3
13,17,4,5,3,4
13,18,5,3,5,3
13,19,4,4,5,5
13,20,5,3,5,2
14,1,5,4,4,3
14,2,4,3,5,4
14,3,4,5,4,4
14,4,3,2,4,2
14,5,5,4,5,3
14,6,4,4,3,4
14,7,5,3,5,3
14,8,4,4,4,5
14,9,3,4,4,4
14,10,5,3,5,2
14,11,4,2,4,3
14,12,5,4,5,4
14,13,3,5,2,4
14,14,4,3,3,2
14,15,5,4,5,3
14,16,4,2,5,4
14,17,5,4,4,5
14,18,4,3,5,2
14,19,5,4,5,4
14,20,5,4,4,3
15,1,4,4,4,4
15,2,5,3,5,3
15,3,3,5,4,5
15,4,4,3,5,4
15,5,4,4,5,4
15,6,3,4,4,5
15,7,5,4,5,4
15,8,4,3,4,3
15,9,5,4,4,3
15,10,5,2,5,2
15,11,4,4,4,5
15,12,5,4,5,4
15,13,3,4,2,4
15,14,4,2,4,2
15,15,5,3,5,3
15,16,4,3,4,4
15,17,5,5,5,4
15,18,4,4,4,3
15,19,5,3,5,3
15,20,5,4,5,3
16,1,5,4,4,3
16,2,4,3,5,4
16,3,4,5,4,4
16,4,3,2,4,2
16,5,5,4,5,3
16,6,4,4,3,4
16,7,5,3,5,3
16,8,4,4,4,5
16,9,3,4,4,4
16,10,5,3,5,2
16,11,4,2,4,3
16,12,5,4,5,4
16,13,3,5,2,4
16,14,4,3,3,2
16,15,5,4,5,3
16,16,4,2,5,4
16,17,5,4,4,5
16,18,4,3,5,2
16,19,5,4,5,4
16,20,5,4,4,3
17,1,4,3,5,4
17,2,5,4,4,3
17,3,3,5,4,5
17,4,4,2,5,3
17,5,5,4,5,3
17,6,3,3,4,4
17,7,5,4,5,3
17,8,4,3,3,4
17,9,4,4,5,4
17,10,5,2,5,2
17,11,4,3,4,4
17,12,5,4,5,4
17,13,2,4,3,5
17,14,3,2,4,3
17,15,5,4,5,4
17,16,4,3,4,3
17,17,4,5,3,4
17,18,5,3,5,3
17,19,4,4,5,5
17,20,5,3,5,2
18,1,5,4,4,3
18,2,4,3,5,4
18,3,4,5,4,4
18,4,3,2,4,2
18,5,5,4,5,3
18,6,4,4,3,4
18,7,5,3,5,3
18,8,4,4,4,5
18,9,3,4,4,4
18,10,5,3,5,2
18,11,4,2,4,3
18,12,5,4,5,4
18,13,3,5,2,4
